,name,Prey,Name Of Young,Group Behavior,Fun Fact,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Other Name(s),Gestation Period,Habitat,Diet,Average Litter Size,Lifestyle,Common Name,Number Of Species,Location,Slogan,Group,Litter Size,Predators,Type,Distinctive Feature,Temperament,Training,Wingspan,Incubation Period,Age Of Fledgling,Average Clutch Size,Main Prey,Age Of Independence,Average Spawn Size,Nesting Location,Age of Molting,Favorite Food,Origin,Optimum pH Level,Migratory,Special Features,Optimum PH Level
972,Lyrebird,"Invertebrates, small lizards and frogs",,,Lyrebirds mimic birds of prey to deter predators such as birds of prey.,"3500 for Albert’s lyrebird, over 10,000 for Superb lyrebird","Habitat destruction, hunting, invasive species such as red foxes",The male bird’s skill at mimicry,"Bulln-bulln, weringerong, woorail for the Superb, northern lyrebird for the Albert’s",,Bushland and rainforests,Carnivore,,,Lyrebird,2,"Australia: Victoria, Tasmania and New South Wales for the Superb lyrebird, Queensland for Albert’s lyrebird",,,1,"Birds of prey, including currawongs, foxes, cats and dogs",Bird,,,,27 to 31 inches,,,,,,,On an earthen mound or among rocks,Six weeks,,,,,,
973,Macaque,"Fruits, seeds, leaves, flowers, bark, and insects",infant,Troop,Macaque females will pass on their social rankings to their daughters,varies,Habitat loss,The long hair around the muzzle,Cynomolgus,5-6 months,"Plains, mountains, and rainforests",Carnivore,1,,Macaque,20,Asia and North Africa,,,1,"Tigers, crocodiles, snakes, leopards, and birds of prey",mammal,,,,,,,,,,,,,,,,,,
974,Macaroni Penguin,,,,,,,,,,Sea and ice-islands in Sub-Antarctica,Carnivore,,Colony,,,,"Gather in colonies of up to 100,000 members!",,,"Leopard Seal, Killer Whale",Bird,,,,80-100cm (31-39in),,,2,"Fish, Squid, Crustaceans",,,,,Fish,,,,,
975,Macaw,,,,The military macaw is named for the green uniforms that many soldiers use in South America.,,,,,,Rainforests and tropical jungle,Omnivore,,Flock,,,,The largest species of parrot in the world!,,,,Bird,Large colourful body and curved beak,,,3-4 feet,Up to 28 days,,,"Fruit, Nuts, Seeds, Insects",,,"Tall trees, riverbanks and cliffsides",9-10 months,Fruit,,,1,,
976,Mackenzie Wolf,"Rodents, moose, bison, elk, caribou, sheep, mountain goats, deer, beavers, salmon, rabbits, squirrels, vole, and lemmings.",pup,Pack,Will travel up to 70 miles in a single day.,"40,000+","Grizzly bears, polar bears, tigers, scavengers, and humans.",gray coat,"Northwestern wolf, Mackenzie Valley wolf, Rocky Mountain wolf, Alaskan timber wolf, or Canadian timber wolf.",Approximately 63 days,"Mountains, forests.",Carnivore,,,Northwestern wolf,1,Western North America,,,4-6 pups,"Grizzly bears, polar bears, tigers, scavengers, and humans.",Mammal,,,,,,,,,,,,,,,,,,
977,Madagascar Hissing Cockroach,Decaying plant matter,Nymph,Colony,One of the largest types of cockroach,,Extermination by humans,Produces a hissing sound,"Hisser, hissing roach",55-65 days,,Omnivore,,,Hisser,1,Madagascar,,,30-60 nymphs,,Insect,,,,,,,,,,,,,,,,,,
978,Madagascar Tree Boa,"Mouse lemurs, small mammals, birds",,Solitary except during mating season,,,,,"Malagasy tree boa, Mandita boa",6 months,,,,Nocturnal,,,Madagascar,,,4-12,,,Pits between its lip scales.,,,,,,,Mouse lemurs and rodents,,,,,Mouse lemurs,,,,,
979,Magellanic Penguin,,,,,,,,,,Antarctic islands,Carnivore,2,Flock,,,,Threatened by oil spills!,,,"Sea Lion, Leopard Seal, Killer Whale",Bird,Black beak and small wings,,,,,,,"Cuttlefish, Squid, Sardines",,,,,Cuttlefish,,,,,
980,Maggot,"None, only consumes decaying matter.",,Group,Will only live in wet areas,,Pest control,Rice-like shape,"Botfly maggot, fly larva, grub, maggot, surgical maggot.",24-48 hours,Damp surfaces with decaying matter,Omnivore,,,maggot,,,,group or grumble,150 or less,"Small mammals, birds, amphibians, and reptiles",insect,,,,,,,,,,,,,,,,,,
981,Magpie,,,,,,,,,,"Open woodland, grasslands and savannas",Omnivore,,Solitary,,,,"They are found across Europe, Asia and Africa!",,,"Foxes, Cats, Coyote",Bird,Black and white markings and long wedge-shaped tail,,,52cm - 60cm (20in - 24in),,,3,"Fruit, Nuts, Seeds, Insects",,,,,Fruit,,,,,
982,Mahi Mahi (Dolphin Fish),"Crustacean, squid, fish",,School,It's called the rabbit of the ocean because it multiplies so quickly.,Unknown,None,Its vivid colors,"Dorado, llampuga (Spanish), lampuka (Malta), lampuga or capone (Sicily), Coryphene (French), Goldmakrel (German), Shiira (Japanese)",41 - 45 hours,"Temperate, tropical, and subtropical waters",Omnivore,,,,,,,,,,Fish,Blunt face,,,,,,,,,,,,,,,,,
983,Maiasaura,,,,Maiasaura dinosaurs can grow to 31 feet long.,,,,,,,Herbivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,Maine Coon,,,,"Folklore says it's half cat, half raccoon!",,,,"Coon Cat, Maine Cat, Maine Shag, American Longhair, American Coon Cat, American Forest Cat",,,Omnivore,5,,Gentle Giant,,,"Folklore says it's half cat, half raccoon!",Longhair,,,,,"Intelligent, loving and affectionate",,,,,,,,,,,,,,,,
985,Malayan Civet,,,,,,,,,,Tropical rainforest,Carnivore,2,Solitary,,,,Also known as the Oriental Civet!,,,"Tiger, Snakes, Leopards",Mammal,"Elongated body and snout with sharp, pointed teeth",,,,,,,"Rodents, Snakes, Frogs",,,,,Rodents,,,,,
986,Malayan Krait,,4-10,,"It's called the five-step snake because if a person is bitten, they can walk about five steps before dying.",,,,,,,Omnivore,,,Malayan krait,,,,,,,,,,,,,,,,,,,,,,,,,
987,Malayan Tiger,,,,,,,,,,Dense tropical forest,Carnivore,3,Solitary,,,,Found in less-dense jungles!,,,Human,Mammal,,,,,,,,"Deer, Cattle, Wild Boar",,,,,Deer,,,,,
988,Mallard,"Vegetation, insects, worms, and snails",,Flock,"With an appropriate tail wind, the mallard can travel hundreds of miles a day",Unknown,Habitat loss and hunting,The iridescent green or blue-headed plumage of the male,Wild duck,,"Wetlands, lakes, streams, and ponds",Omnivore,,,Mallard,1,Worldwide,,,,,Bird,,,,2.7-3.2ft,26-30 days,,,,,, Tall and dense vegetation near the water,52-60 days,,,,1,,
989,Malteagle,,,,Malteagles are one of the smallest beagle hybrids and love to follow their owners everywhere.,,,,,,,Omnivore,,,,,,,,,,,,Affectionate and playful,,,,,,,,,,,,,,,,
990,Maltese,,,,,,,,,,,Omnivore,,,Maltese,,,Originally bred in Europe!,Gun Dog,,,,,,,,,,,,,,,,,,,,,
991,Maltese Shih Tzu,,,,"Both parent breeds, the Maltese and Shih Tzu, once entertained royalty",,,,Mal-shi,,,Omnivore,,Pack,,,,,,6-8 puppies,,,,"Adaptable, intelligent, active.",,,,,,,,,,,,,,,,
992,Maltipoo,,,," Maltipoos may have one of three different coat types depending on the specific genes they inherit from their parents. These include silky, curly, or wavy.",,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993,Mamba,"bush babies, hyrax, birds, bats, rodents, and eggs",,,,,,,,,,Omnivore,6 to 25 eggs,,Mamba,,,,,,,,,,,,,,,,,,,,,,,,lighter bellies,
994,Mamushi Snake,"Rodents, small birds, lizards, and insects",,,"The Mamushi snake, which is also known as the Japanese moccasin or the Japanese pit viper, can grow to be over two feet long.",,,,,,,Omnivore,2-13,,Mamushi,,,,,,,,,,,,,,,,,,,,,,,,,
995,Man of War Jellyfish,"Small fish, shrimp, plankton",,Legion,Named for an 18th century warship,unknown,predators and climate change,"floating balloon-like, air-filled bladder","man o'war, bluebottle, blue bottle jellyfish",,tropical and sub-tropical oceans,Carnivore,,,Man of war jellyfish,1,,,,,"loggerhead sea turtle, blue sea slug, violet sea snail",siphonophore,,,,,,,,,,,,,,,,,,
996,Manatee,,,,,,,,,,Warm coastal waters and slow-moving rivers,Herbivore,1,Solitary,,,,Also known as the Sea Cow!,,,"Human, Sharks",Mammal,,,,,,,,"Sea Grass, Algae, Flowers",,,,,Sea Grass,,,,,
997,Manchester Terrier,,,,Fences are no match for Manchester terriers. They’re great escape artists!,,,,,,,Omnivore,,,,,,,,,,,,"Alert, observant, devoted, and discerning",,,,,,,,,,,,,,,,
998,Mandarin Rat Snake,"Mice, rodents",,,"""This docile snake is a popular and long-lived pet - though challenging to care for - with a lifespan of up to 21 years!""",,,,,,,Carnivore,5 to 34; 12 on average,,Mandarin rat snake,,,,,,,,,,,,,,,,,,,,,,,,,
999,Mandrill,,,,,,,,,,Dense and coastal tropical forests,Omnivore,1,Troop,,,,Distinctively coloured noses and rumps!,,,"Leopard, Eagles, Snakes",Mammal,,,,,,,,"Fruit, Roots, Insects",,,,,Fruit,,,,,
1000,Maned Wolf,"Small- to medium-sized animals including rodents, birds, fish, and rabbits; vegetable matter including tubers, fruit, and sugarcane",Pup,Solitary,"Despite its name, the Maned Wolf is not actually a wolf.","23,600",Habitat destruction,Reddish brown or golden orange fur with a black mane,,60 to 65 days,"Semi-open habitats such as grasslands, forests, and scrub prairies",Omnivore,,NocturnalCrepuscular,Maned Wolf,1,Central and eastern South America,,Mammal,2 to 6 pups,Jaguars and pumas,,,,,,,,,,,,,,,,,,,
1001,Mangrove Snake,"Reptiles, birds, small mammals.",,,,,,,,,,Omnivore,4 to 15 eggs,,Mangrove snake or gold-ringed cat snake,,,,,,,,,,,,,,,,,,,,,,,,,
1002,Manta Ray,Zooplankton,,Solitary,Manta rays are the biggest rays in the world,,"Fishing, harvesting for international trade","Broad, flat bodies",Devil fish,12 to 13 months,All world oceans,Carnivore,,,Manta Ray,2,,Can grow up to 9m wide!,,,"Sharks, Humans, Killer Whales",Fish,,,,,,,2,"Fish, Plankton, Shrimp",,,,,,,6 - 9,,,
1003,Mantella Frog,"Termites, ants, fruit flies, other insects",tadpoles and froglets,Colony,Some of the smallest and most brightly colored frogs in the world,"unknown, varies by species",climate change and pollution,Size and color,"Jewels of Madagascar, Malagasy poison frogs",2 days,Island of Madagascar,Carnivore,,,Mantella frogs,16,Madagascar,,,dozens,"Small mammals, snakes, birds",Amphibian,,,,,,,,,,,,,,,,,,
1004,Marabou Stork,"Smaller birds, small reptiles and small mammals, insects",,,The marabou stork does not have a voice box.,"At least 10,000",Disease,Its ugliness,"Undertaker bird, Maraboe, nightmare bird",,"Deserts, savannas and wet areas, towns and cities",Omnivore,,,Marabou stork,,Sub-Saharan Africa,,,1,Humans and large carnivores,Bird,,,,12 feet,30 days,,,,,,"Cliffs, treetops, buildings",12 to 15 weeks,,,,1,,
1005,Marble Fox,"Rodents, birds, reptiles, insects, and more",Kits,Solitary,The marble fox is not a naturally occurring variant; it was created through artificial selection.,Unknown,Fur industry,The marble-colored coat,Canadian marble fox or Arctic marble fox,Up to 2 months,Human captivity,Omnivore,,,Marble fox,1,Worldwide,,,1-13 kits,None in captivity,Mammal,,,,,,,,,,,,,,,,,,
1006,Marine Iguana,,Juveniles,Solitary,Adult marine iguanas vary in size depending on the size of the island where they live.,"250,000",Man,"Long spines on head, back and tail","Saltwater lizards, Galapagos lizard, Christmas lizard",Eggs hatch in 89 to 120 days,Rocky shoreline on Galápagos Islands,Herbivore,,,,1,Galapagos Islands,,,1-6 eggs,"Galapagos hawks, snakes, rodents, cats and dogs when young",Reptile,,,,,,,,,,,,,,,,,,
1007,Marine Toad,,,,,,,,,,Forests and fields close to water,Carnivore,,Solitary,,,,Produces a toxin used in arrow darts!,,,"Dogs, Snakes, Birds",Amphibian,Large body size and rough skin,,,,,,15000,Insects and Small Animals,,,,,Insects,,,,,
1008,Markhor,,,,,,,,,,Sparsely wooded cliff-sides,Herbivore,1,Herd,,,,"Less than 2,500 left in the wild!",,,,Mammal,"Long winter hair and large, spiralled horns",,,,,,,"Grasses, Leaves, Herbs",,,,,Grasses,,,,,
1009,Marmoset,"Frogs, snails, lizards, spiders, insects.",baby,TroopGroup,,"2,500",Deforestation and trafficking.,Small long-tailed body with non-opposable thumbs,"Common marmoset, zaris, sagoin.",4-5 months,"Tropical forests, rainforest.",Omnivore,,,Marmoset,22,South America,,,one to four,"Raptors, snakes, owls, wild cats, other mammals, other birds.",mammal,,,,,,,,,,,,,,,,,,
1010,Marmot,,Pup,SolitarySocial,A marmot spends 80% of its life below ground,Unknow,Poaching,Yellow fur on its belly,"Ground hog, ground squirrel, rock chuck, whistle pig",30 days,"Meadows, steppes, forest edges",Herbivore,,,Ground squirrel,15,"Asia, North America, Europe",,,3-8,"Coyotes, badgers, black bears, eagles",Mammal,,,,,,,,,,,,,"Seeds, nuts, flowers",,,,,
1011,Marsh Frog,,,,Marsh frogs are the largest frogs that are native to Europe.,,,,,,"Ponds, lakes and rivers",Carnivore,,Solitary,,,,Has bright green skin!,,,"Fish, Toads, Birds",Amphibian,Large head and long hind legs,,,,,,1000,"Insects, Moths, Spiders",,,,,Insects,,,,,
1012,Masked Angelfish,"algae, plankton, roe (fish eggs)",,,"All masked angelfish are female until sometime after sexual maturity, at which point some become male.",,None,Black “mask” around the eyes (females only),,,,Omnivore,,,Masked Angelfish,1,,,,,,,Their bright white color,,,,,,,,,,,,,,,,,
1013,Masked Palm Civet,,,,,,,,,,Tropical rainforest,Carnivore,2,Solitary,,,,"Found throughout Asia, India and China!",,,"Lions, Snakes, Leopards",Mammal,"Elongated body and snout with sharp, pointed teeth",,,,,,,"Rodents, Snakes, Frogs",,,,,Rodents,,,,,
1014,Massasauga,"Small mammals, lizards, other snakes, centipedes",,Solitary,"The name “Massasauga” comes from the Chippewa language, meaning “Great River Mouth”.",,,,,,"Prairie, marsh, and lake areas",Carnivore,,,Massasauga Rattlesnake,,North America,,,8-20 live young,,,,,,,,,,,,,,,,,,,,
1015,Mastador,,,,The Mastador gets its enormous size from its Mastiff parent,,,,,,,Omnivore,,,,,,,,,,,,"Friendly, active, and intelligent",,,,,,,,,,,,,,,,
1016,Mastiff,,,,"Courageous, calm and affectionate!",,,,,,,Omnivore,,,Mastiff,,,"Courageous, calm and affectionate!",Mastiff,,,,,,,,,,,,,,,,,,,,,
1017,Mayfly,,,,,,,,,,Forest and woodland close to water,Omnivore,"1,000",,Mayfly,2500,Worldwide,"There are 2,500 known species worldwide!",,,"Birds, Rodents, Reptiles",,,,,,,,,"Algae, Larvae, Aquatic Plants",,,,,Algae,,,,,
1018,Meagle,,,,The Meagle has an incredible sense of smell.,,,,,,,Omnivore,,,,,,,,,,,,"Active, energetic, and sometimes stubborn",,,,,,,,,,,,,,,,
1019,Mealybug,,Nymphs or instars,Colony,They have a symbiotic relationship with ants.,,Poisonous plants,"Waxy, mealy appearance",,4-6 days,Plants,Herbivore,,,Mealybugs,,Worldwide,,,100-600 eggs depending on species,,Insect,,,,,,,,,,,,,,,,,,
1020,Meerkat,"Insects, Rodents, Lizards",Kit,Band/Gang,One will stand on guard to watch for predators!,Common,Climate change,Dark bands around eyes and white face,Suricate,11 weeks,Semi-desert and scrub-land,Carnivore,3,Diurnal,Meerkat,3,South-western Africa,One will stand on guard to watch for predators!,Mammal,,"Hawks, Jackal, Snakes",,,,,,,,,,,,,,,,,,,
1021,Megalodon,"Baleen whales, toothed whales, sea turtles, sharks",,Solitary,The largest shark to ever exist! Over 50 feet long and up to 100X the mass of today's great whites!,Extinct,,,,,Coastal ocean waters,Carnivore,,Solitary,,,Fossils found in oceans across the world,The largest shark to ever live!,,,Livyatan,,,,,,,,,Baleen whales,,,,,,,,,,
1022,Megamouth Shark,,,Solitary,Swims with its mouth open to capture prey,Unknown,Incidental bycatch,Tremendously large mouth full of teeth,Big mouth shark,Unknown,Oceans,Carnivore,,,Megamouth shark,1,,,,,,Cetorhinidae,,,,,,,,"Plankton, jellyfish, shrimp, copepods",,,,,,,,,,
1023,Mekong Giant Catfish,"Plants, algae, and zooplankton",,Mainly solitary,The Mekong giant catfish is the largest purely freshwater fish in the world,A few hundred,Damming,Low-set eyes,Pa beuk (in Laos),,Mekong River,Herbivore,,,Mekong Giant Catfish,1,,,,,Humans, Ray-finned fish,,,,,,,,,,,,,,,Unknown,,,
1024,Mexican Alligator Lizard,"Diurnal crickets, grasshoppers, hornworms",Neonates,Solitary,Mexican alligator lizards shed their skin like snakes.,Unknown,Man,Vibrant color,Green arboreal alligator lizard,6-8 months,Mesic cloud and pine-oak forest canopies,Carnivore,,,"Alligator lizard, green arboreal alligator",1,Mexico,,,1-12,"Dogs, cats, rodents",Reptile,,,,,,,,,,,,,,,,,,
1025,Mexican Black Kingsnake,,,,A subspecies of the common kingsnake,,,,,,,Carnivore,,,Mexican black kingsnake,,,,,Three to 24,,,Very dark brown with irridescent scales,,,,,,,,,,,,,,,,,
1026,Mexican Eagle (Northern crested caracara),"Rabbits, squirrels, skunks, frogs, lizards, snakes, turtles, fish, insects, birds, and alligators",,,The northern crested caracara mates for life with its partner,Unknown,Unknown,The multi-colored beak,Mexican eagle,,"Prairies, deserts, and other semi-open terrains",Carnivore,,,Northern Crested Caracara,1,North America and South America,,,,Raccoons and crows,Bird,,,,1.2-1.3m (47-52in),30 days,,,,,,"Shrubs, trees, and other structures",42-56 days,,,,,,
1027,Mexican Free-Tailed Bat,Moths,Pup,Social,Some colonies have millions of bats,120 to 150 million,Mining in caves,"Large, rounded ears","Guano bats, Brazilian free-tailed bats, mastiff bats",11-12 weeks,"Caves, tunnels, under bridges",Carnivore,,,Mexican free-tailed bat,9,"Southern United States, Mexico, northern parts of South America",,,1,,Mammal,,,,,,,,,,,,,,,,,,
1028,Mexican Mole Lizard,"Insects, larvae, lizards",Hatchling,,"They can break off part of their tail, but it will not grow back.",,Humans,Worm-like appearance,"Five-toed worm lizard, bipes",2 months,"Desert, dune, shrubland",Carnivore,,,Mexican mole lizard,1,Mexico,,,1-4,"Humans, snakes",Reptile,,,,,,,,,,,,,,,,,,
1029,Midget Faded Rattlesnake,"small mammals, lizards, birds",Neonate,Mainly solitaryCommunal Dens,They're also called horseshoe rattlesnakes thanks to the shape of their markings.,,Human encounters,Generally faded coloration in the adults.,"Horseshoe rattlesnake, yellow rattlesnake, faded rattlesnake",4 months,"rock outcrops, sagebrush, high desert.",Carnivore,,DiurnalCrepuscular,,,,,,3-5,"owls, hawks, coyotes",,Rattle,"Mellow, non-aggressive",,,,,,,,,,,mice,,,1,,
1030,Miki,,,,They can be trained to use the litter box like a cat!,,,,,,,Omnivore,,,,,,,,,,,,Sweet and intelligent,,,,,,,,,,,,,,,,
1031,Milk Snake,"Rodents, reptiles, snakes, and insects.",,,,,,,,,,Carnivore,,,milk snake,,,,,6-24 eggs,,reptile,,,,,,,,,,,,,,,,,,
1032,Milkfish,Algae and small invertebrates,,School,"Females lay up to 5 million eggs at one time in warm, shallow and salty waters",Milkfish production exceeds 1.1 million tons per year,Parasites or nematode infestations that cause tail rot and other health issues,Deeply forked tail,Bandeng or Bangos,1 to 2 days,Tropical freshwater lakes and rivers,Omnivore,,,Milkfish,1,,,,,Indo-Pacific Tarpons and Tenpounders,Ray-finned fish (Actinopterygii),,,,,,,,,,,,,,,,,,
1033,Millipede,,,,Some species have a poisonous bite!,,,,,,Moist micro-habitats,Omnivore,500,,Millipede,10000,Worldwide,Some species have a poisonous bite!,,,"Birds, Badgers, Rodents",,,,,,,,,"Decaying plant material, Plants, Insects",,,,,Decaying plant material,,,,,
1034,Mini Labradoodle,,,,The first mini labradoodle was bred in the early 1990s - almost immediately after standard labradoodles became popular.,,,,,,,Omnivore,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,Miniature Bull Terrier,,,,This dog has a very happy-go-lucky temperament.,,,,,,,Omnivore,,,,,,,,,,,,"Happy-go-lucky, active, and energetic",,,,,,,,,,,,,,,,
1036,Miniature Husky,,,,"The Miniature Husky has a double coat that it sheds twice annually. Also, some people confuse them with Alaskan Klee Kai, which have similar blue eyes.",,,,,,,Omnivore,9-11,,,,,,,,,,,"Energetic, athletic, playful, friendly, intelligent",,,,,,,,,,,,,,,,
1037,Miniature Pinscher,,,,Stable rodents were kept in check by using it as a barnyard ratter.,,,"Its high stepping, hackney gait.",,,,Omnivore,3-6 puppies.,,,,,,,,,,,"High energy, brave and intelligent.",,,,,,,,,,,,,,,,
